ground_truth,prediction,score
1,1,0.08552846091188077
1,1,0.08043478054460235
-1,-1,-0.0630843651124392
-1,-1,-0.17058988002785092
-1,-1,-0.11114357948327425
1,1,0.08447712113767841
-1,-1,-0.027474865152825823
-1,-1,-0.06566181531380633
-1,-1,-0.16904971206692077
-1,-1,-0.16251131000346242
-1,-1,-0.0976666116355126
-1,-1,-0.06799403978147378
-1,-1,-0.04173116893613499
1,1,0.08578791670798935
1,1,0.08541704313273246
1,1,0.0855597115639587
-1,-1,-0.05871461914847714
-1,-1,-0.177181719635927
-1,-1,-0.21940923632019227
-1,-1,-0.12599225757138088
-1,-1,-0.11227031223022843
-1,-1,-0.17291985148601874
-1,-1,-0.07258963796674167
-1,-1,-0.013997808991467742
-1,-1,-0.09546290615749997
-1,-1,-0.13411143968147288
-1,-1,-0.09845554975678539
-1,-1,-0.05073084890889146
-1,-1,-0.20534062947185172
-1,-1,-0.23705612045257296
-1,-1,-0.22176349068294332
-1,-1,-0.09192224902784008
-1,-1,-0.07980270324117877
-1,-1,-0.16972664189896902
-1,-1,-0.2057270745694062
-1,-1,-0.20663455440866196
1,1,0.07964915907660147
-1,-1,-0.06299898268935233
-1,-1,-0.06210707847106961
1,1,0.07342495851870245
-1,-1,-0.13940828717803833
-1,-1,-0.22122797685136442
-1,-1,-0.18993121551664238
-1,-1,-0.08492301675541669
1,1,0.08113220796629345
-1,-1,-0.1946442458515446
-1,-1,-0.23008104932371665
-1,-1,-0.14766143784790697
-1,-1,-0.08804504714368855
-1,-1,-0.10188082719570546
-1,-1,-0.22753966922470437
-1,-1,-0.22186945975806305
-1,-1,-0.21494562530655137
-1,-1,-0.16185639773481741
-1,-1,-0.06093757775494574
-1,-1,-0.22047195632592897
-1,-1,-0.1883450042228606
-1,-1,-0.20838295350642877
-1,-1,-0.08867482480328925
-1,-1,-0.16158201954483375
-1,-1,-0.16585757629637332
-1,-1,-0.03768099484764148
1,1,0.0844145266940281
-1,-1,-0.06472491805361058
-1,-1,-0.06583358036985643
-1,-1,-0.06844651203708407
-1,-1,-0.20461834704913762
-1,-1,-0.21643463013488473
-1,-1,-0.23087121073977257
-1,-1,-0.22946581056343607
-1,-1,-0.16082693585721808
-1,-1,-0.12929807804258153
-1,-1,-0.09492863611946056
-1,-1,-0.0777943254086142
-1,-1,-0.09645490968264181
-1,-1,-0.17829430755245335
-1,-1,-0.15740438256590794
-1,-1,-0.17160594129714357
-1,-1,-0.16143512052277764
-1,-1,-0.09974178224368657
-1,-1,-0.13343111243538175
-1,-1,-0.09252689661924562
1,1,0.084878320323788
-1,-1,-0.056218521027069035
-1,-1,-0.15037856628734103
-1,-1,-0.18091705914923173
-1,-1,-0.07085996462361843
-1,-1,-0.10996302714355954
-1,-1,-0.053354970053317075
-1,-1,-0.06368161337737693
-1,-1,-0.09820018587093404
-1,-1,-0.12580664541892317
-1,-1,-0.10730016929307717
-1,-1,-0.1796080397577957
-1,-1,-0.16601061923859628
1,1,0.08544372386539367
1,1,0.08126226978313694
-1,-1,-0.06537546644636122
-1,-1,-0.1689789726540336
-1,-1,-0.17452497364504793
-1,-1,-0.24068483083063108
-1,-1,-0.25236908792474455
-1,-1,-0.20579250407861116
-1,-1,-0.18508381872414303
-1,-1,-0.197093156041505
-1,-1,-0.20347284414847322
-1,-1,-0.06190901684976613
-1,-1,-0.06478733681681664
-1,-1,-0.2243898142518872
-1,-1,-0.2206751971144375
-1,-1,-0.21623869586987732
-1,-1,-0.2357108034748061
-1,-1,-0.20205819389124857
-1,-1,-0.012875760672567349
1,1,0.07974492904734082
-1,-1,-0.1108050192586314
-1,-1,-0.10896337876910711
1,1,0.08459659911153744
-1,-1,-0.12698008828902074
-1,-1,-0.24123520100054063
-1,-1,-0.23591381573724246
-1,-1,-0.2143864914456265
-1,-1,-0.19810329618446576
-1,-1,-0.1690927217933864
-1,-1,-0.06159307239365164
-1,-1,-0.06090386151802463
-1,-1,-0.0926996618877014
-1,-1,-0.07182798235398236
-1,-1,-0.08176186554886133
-1,-1,-0.16932828492688534
-1,-1,-0.08905959366083482
-1,-1,-0.05668161445100911
-1,-1,-0.08705990084904203
-1,-1,-0.22650623797387703
-1,-1,-0.24069648893962248
